right_eyebrow_1,right_eyebrow_2,right_eyebrow_3,left_eyebrow_1,left_eyebrow_2,left_eyebrow_3,right_eye_1,right_eye_2,right_eye_3,left_eye_1,left_eye_2,left_eye_3,right_cheek_1,right_cheek_2,right_cheek_3,left_cheek_1,left_cheek_2,left_cheek_3,mouth_1,mouth_2,mouth_3,nose_1,nose_2,nose_3,jaw_1,jaw_2,jaw_3,label
#aa928a,#5d4944,,#cebab2,#8b746b,,#403b3f,#d4bbb2,,#363032,#8f807d,,#f3e0db,#ddc2ba,#73524b,#eed4ce,#eacdc6,#f0d9d4,#db96a0,#a7575c,,#eed9d2,#ab8174,,#e3c6bf,#75504b,,fall_mute
#6c4f49,#917670,,#57392f,#775f5a,,#573e3c,#e1cfcd,,#452b27,#a2837e,,#e9cac5,#6b5654,#b89c94,#e9c9c6,#dbbab7,#be9d99,#cf8c8f,#ad575b,,#dfc0bc,#b18f8a,,#d7b7b2,#6f524e,,fall_mute
#785753,#c19e9a,,#775148,#bd9588,,#4c3334,#b79691,,#442e2c,#b99e9d,,#e6b1a5,#f0beb4,#daa597,#e2b3b4,#eec2c3,#c49c9f,#a95250,#d18783,,#dbaba1,#825b53,,#d6a69e,#663f3d,,fall_mute
#5f3f35,#7f5e51,,#664b42,#3a2d27,,#42312b,#58453d,,#41322e,#705752,,#ba9d98,#c3a39d,#b39994,#c0a29a,#b89d96,#b09691,#935357,#ae837f,,#bdaaa9,#a6867b,,#b69a91,#75544e,,fall_mute
#725f7a,#b39eb3,,#c9b9c2,#7f6e77,,#a596a7,#7a6a7a,,#6d5565,#b49dae,,#ecd3db,#d8bfc9,#a2868f,#e4bfd8,#d5a5d3,,#c599ae,#634154,,#e8d4de,#9d8191,,#dbbecc,#987a87,,fall_mute
#bdaaa0,#77635b,,#af9f97,#786660,,#8f8b91,#463e43,,#4a4348,#938f94,,#c7afa7,#d5bcb9,#e1d0d3,#e2cbc6,#ebd8d3,#d0b6b3,#be8688,#8d5555,,#eadbd7,#987a71,,#d6c1b8,#a3827c,,fall_mute
#8c6869,#b7989b,,#755556,#9e7f83,,#948c9b,#39292f,,,,,#dbbdc8,#caabb3,#b6929b,#ddbfc3,#d5b7b8,#eac9d3,#b57083,#6b333c,,#d0b2bb,#906364,,#d1b3b9,#977074,,fall_mute
#633c33,#7d5247,,#5d3f36,#7d5d52,,#3d2828,#553830,,,,,#bca5a3,#c2a59c,#b49a91,#c5aa9d,#cfb6b2,#998279,#b68a84,#7f484b,,#c9b3ad,#9f7c6d,,#bea297,#62413c,,fall_mute
#6f5747,#a38979,,#927765,#b59a88,,#4b4037,#b1a093,,#bca99e,#554945,,#e9c3ac,#ddb5a2,#cda491,#e8c2ad,#dfb7a2,#c9a592,#c89583,#9c6653,,#ebc8b6,#c8a28b,,#d1ac96,#634a3c,,fall_mute
#9b7965,#583724,,#3f2210,#7c593c,,#ad8370,#2d1410,,#3d1c0f,#a27e70,,#e6c2ad,#c5997d,#a47656,#f4d0ba,#f0c9b1,#ebc4aa,#c67e73,#7d3f3a,,#d3a58e,#683b2f,,#dab39d,#8e5f43,,fall_mute
#624840,#43312e,,#54423d,#715851,,#272625,#594b46,,#2e2d2f,#6c5d5a,,#bc9991,#b38e83,#a88174,#9c6f5e,#946a58,#89614f,#905d58,#73433d,,#b9978e,#8c685a,,#a78376,#745146,,fall_mute
#866c5c,#c0a390,,#5b483c,#a69083,,#bfada9,#44352e,,#b3a39b,#463831,,#dfc3b3,#d1b5a3,,#e9c5af,#e0bba4,#d1a88c,#a6655e,#c68d83,,#dfc3b4,#ba937e,,#d9b7a0,#8b6452,,fall_mute
#231e1f,#2e2626,,#7b5f51,#a58777,,#2d221f,#594c48,,#413834,#877a72,,#c5a690,#a7806b,#b9937e,#8d6e5c,#7c6253,#6d5546,#8b5751,#61322f,,#bc9885,#8e6c5b,,#b08d79,#725548,,fall_mute
#896d64,#c5aaa1,,#705246,#b3988b,,,,,#402922,#81615c,,#f8e2d6,#f2d6ca,#d9b5a6,#fae8de,#e0c6bb,#f2dbd2,#d298a0,#7d4645,,#e4c8bd,#9d786d,,#e4cac0,#9c776f,,fall_mute
,,,#a2989c,#62515b,,#977b80,#c6b3b7,,#b2aebb,#595260,,#e7d6de,#6d5069,,#f7edee,#c5aeaf,,#d2aab5,#7e6271,,#eadde3,#b4979f,,#e2d0d3,#725b61,,fall_mute
#723f3d,#ad7d78,,#522826,#9a716b,,#856d6a,#47272e,,#603c3c,#c7babb,,#f6dacf,#f9e6e0,#efc5b9,#f5d1c4,#f7dacc,#f4c9be,#d88f90,#a24f52,,#f0cfc4,#b37973,,#f1cdc3,#bd7372,,fall_mute
#574131,#8e7363,,#4d3825,#6d5444,,,,,#7d5f57,#563c35,,#c5ab9d,#d4c0b2,#9a897b,#c5a69b,#522c1f,,#ae7571,#935252,,#c3a79c,#6a473c,,#c8ad9e,#996a63,,fall_mute
#bc9585,#a98172,,#d5b2a1,#b28979,,#c1978f,#8e6862,,#af8177,#6d4b42,,#f4dcd3,#f1d1c4,#eac6b7,#eacec5,#ddbbb3,#ae8687,#b76a6a,#e9b0aa,,#edcec5,#a36f68,,#eacbbf,#bd8d87,,fall_mute
,,,#a8928a,#c9b7ae,,,,,,,,#d6c5be,#bea79a,,#c7b1aa,#ac968c,,#9f686a,#c2979b,,#c9b4aa,#836759,,#c7b1aa,#876860,,fall_mute
#46292a,#816463,,#271923,#4e3436,,#3a1f1b,#5d4440,,#351e26,#76575a,,#c49d8c,#b59180,#a38274,#d7afa1,#c9a191,#b6907f,#a2706e,#703e3f,,#b38f80,#613b32,,#b99385,#70504e,,fall_mute
#382220,#55382d,,#634233,#926d55,,,,,,,,#b38d6d,#a78164,#865d45,#b38a6b,#6b3b24,,#784133,#b38163,,#a97e62,#572e20,,#ad8566,#81533e,,fall_mute
#957460,#140d0c,,#b7876f,#875a43,,#3f2d31,#958586,,#3b2b2f,#c4b0b1,,#e8b087,#da9c6f,#c3845c,#e8b28a,#dca175,#c78960,#ab6951,#c78169,,#c7885b,#db9f77,,#ce9571,#68483b,,fall_mute
#2f2119,#5a4539,,#62483a,#8c7063,,#271c18,#645853,,#85706d,#2b1d17,,#c3aba1,#bca197,#b5998a,#a08473,#755d50,#413228,#985656,#572925,,#bca396,#6e5244,,#b29688,#674d40,,fall_mute
#63514d,#95827c,,#413231,#7f6b66,,#b39a97,#4e3f3f,,#937c79,#3d3234,,#f3d6c4,#ccae9e,#e1c1ae,#f1d4c3,#e5c6b4,#d1b3a2,#cf9090,#7f4443,,#f2dacd,#967061,,#dfc1b1,#947167,,fall_mute
#23160c,#2f1c14,,#2f231b,#1e130b,,,,,,,,#7a563f,#805a43,#89634e,#b1876d,#88604a,,#8b5e51,#623b2e,,#7d5843,#c0997e,,#77533f,#a77f65,,fall_mute
