right_eyebrow_1,right_eyebrow_2,right_eyebrow_3,left_eyebrow_1,left_eyebrow_2,left_eyebrow_3,right_eye_1,right_eye_2,right_eye_3,left_eye_1,left_eye_2,left_eye_3,right_cheek_1,right_cheek_2,right_cheek_3,left_cheek_1,left_cheek_2,left_cheek_3,mouth_1,mouth_2,mouth_3,nose_1,nose_2,nose_3,jaw_1,jaw_2,jaw_3,label
6967874,11704455,0,5391673,12102043,0,6111280,12098441,0,14601665,0,0,14666940,6506293,0,16180436,15455165,14466724,6769727,13348255,0,14535356,7032383,0,14467499,7559754,0,winter_bright
8942184,13284004,0,10653832,3286306,0,12300201,3879213,0,12694959,5850945,0,16376281,16045776,15320764,16309458,15517888,13675942,14254728,11355472,0,14993081,10253927,0,15059132,9858407,0,winter_bright
4930618,9337972,0,4732982,7890013,0,3023396,8023663,0,3417383,8812921,0,12625822,11703946,10518132,13415077,4994867,12098703,12748426,8734539,0,13216930,10056814,0,12493205,6177856,0,winter_bright
8085858,12164248,0,6967118,10518649,0,3284774,10324112,0,3416103,10520454,0,16310489,15584704,11964554,15720157,14070702,12488329,13863576,8862792,0,16179413,10316639,0,14728887,6503749,0,winter_bright
3156268,6838362,0,5260620,8746618,0,2433060,7894403,0,1249297,1576979,0,11309199,11835799,10190976,9862269,8152423,6047815,8079202,5777983,0,10717320,6309194,0,10191489,6177608,0,winter_bright
8941423,11836827,0,10060419,2760999,0,3286316,8747137,0,3943730,10455698,0,16577004,16046803,16377567,16179674,14927300,12493477,7683919,13535644,0,9397860,16048340,0,14928579,8939372,0,winter_bright
7761517,3024678,0,5589051,8417892,0,7827051,3945521,0,6773330,2235164,0,11772052,11573900,11310212,11970725,11574420,10587012,10123638,8675164,0,11904661,10258552,0,10653571,4799543,0,summer_mute
5916484,9862777,0,7823195,10849158,0,0,0,0,1446165,5325379,0,14795453,14399409,13610414,13676973,10583674,0,12088186,9651535,0,13546411,9006181,0,12426392,4074540,0,summer_mute
5325110,2957082,0,0,0,0,10914174,7625035,0,13152170,4075307,0,15521746,14336695,12361358,14796738,8413266,0,14001061,10841708,0,14862787,9006433,0,14928579,10321265,0,summer_mute
3418919,0,0,10390911,6640456,0,0,0,0,0,0,0,12692890,9007711,5454889,13088158,10126189,0,10452083,7491657,0,14141619,10257519,0,12429717,7363147,0,summer_mute
11701631,12556940,0,7428433,3223345,0,8940903,6900286,0,8282977,5785670,0,12685177,9726294,4732723,13869191,14001549,13081218,8473149,11761513,0,13081222,8213313,0,12225657,3482914,0,summer_mute
4734780,10456969,0,9074805,5523013,0,0,0,0,0,0,0,14668494,14075584,12890281,13877948,10784650,14601928,12229282,8611435,0,14009792,10784650,0,13812670,9731192,0,summer_mute
9664368,3023395,0,8282717,11176835,0,3154727,5522245,0,5588039,3023914,0,15717840,15322564,14992314,14596787,2892581,9333865,12416115,9194059,0,15191749,11240314,0,13412255,4534833,0,summer_mute
8613476,12890792,0,10127484,3549987,0,8416355,11047818,0,9665651,7955547,0,14271674,12758433,10193281,14403774,15061960,13285290,10782330,12426901,0,13679274,11837069,0,12692127,5719874,0,summer_mute
7822166,12493209,0,6177367,10189454,0,3942954,10190459,0,8940409,3088167,0,14795961,13675952,12359611,15651012,14926260,13873318,8538457,13079193,0,14138039,9596279,0,13808044,9794457,0,summer_mute
7167830,9864315,0,6444625,8944242,0,4340277,7431264,0,7628641,9339255,0,13021872,11836570,10257022,13416884,13943486,12889765,11963016,9788763,0,13022378,11309960,0,12363679,5982276,0,summer_mute
12890025,9271154,0,6244927,8941930,0,10125950,4665389,0,5125935,11310226,0,9465434,11766912,14268591,16050144,14007475,15192776,13083044,7029051,0,8281172,14073269,0,9136732,14863557,0,summer_mute
5128254,12495012,0,5326149,10192261,0,10190974,6902096,0,5192246,9730936,0,14995656,14401976,13480359,13743788,12624022,11307648,10579566,13476000,0,14666180,8346195,0,13678253,9992305,0,summer_mute
9336180,11178386,0,11047312,12757673,0,0,0,0,5521215,9270131,0,13874865,15058629,11571598,14467008,13677491,0,12225169,9922413,0,14137529,10386558,0,13874610,10649983,0,summer_mute
