b1,s1,v1,tone,saturation,brightness
0.0769828125,-0.22478687127024724,0.2196078431372549,cool,bright,dark
0.127584375,-0.23773314203730272,0.4627450980392157,cool,bright,dark
0.10131640625,-0.26099692889203874,0.14901960784313725,cool,bright,dark
0.0275671875,-0.41105169340463454,0.3176470588235294,cool,bright,dark
0.09511796875,-0.28080693815987934,0.3137254901960784,cool,bright,dark
0.05103984375,-0.3577300150829562,0.3137254901960784,cool,bright,dark
0.05775546875,-0.28767507002801124,0.3215686274509804,cool,bright,dark
0.15295859375,-0.12125012441524838,0.27058823529411763,cool,bright,dark
0.0587875,-0.32825186412593205,0.3333333333333333,cool,bright,dark
0.0867328125,-0.3345599032564568,0.38823529411764707,cool,bright,dark
0.1047921875,-0.2014143362262938,0.21568627450980393,cool,bright,dark
0.04719921875,-0.33377896613190733,0.3607843137254902,cool,bright,dark
0.03597578125,-0.3769607843137255,0.34509803921568627,cool,bright,dark
0.148040625,-0.13353973168214656,0.3176470588235294,cool,bright,dark
0.240078125,-0.12445074415308295,0.4745098039215686,cool,bright,dark
0.00505546875,-0.4158952105432337,0.4549019607843137,cool,bright,dark
0.059296875,-0.2725490196078431,0.16470588235294117,cool,bright,dark
0.13400078125,-0.21689291101055808,0.36470588235294116,cool,bright,dark
0.0898,-0.3109038737446198,0.4627450980392157,cool,bright,dark
0.06025625,-0.3260813873288009,0.2784313725490196,cool,bright,dark
0.0899453125,-0.28436819172113287,0.34509803921568627,cool,bright,dark
0.058553125,-0.31277159512453623,0.3686274509803922,cool,bright,dark
0.06161328125,-0.3093002338550099,0.35294117647058826,cool,bright,dark
0.193725,-0.05353029104018289,0.37254901960784315,cool,bright,dark
0.0863453125,-0.2392879732538177,0.34901960784313724,cool,bright,dark
0.10965078125,-0.18911162230255232,0.2,cool,bright,dark
0.087784375,-0.24685874349739895,0.26666666666666666,cool,bright,dark
0.07564296875,-0.3274926992073425,0.4196078431372549,cool,bright,dark
0.04905234375,-0.3652086475615887,0.41568627450980394,cool,bright,dark
0.09425234375,-0.2889978213507625,0.34509803921568627,cool,bright,dark
0.01870703125,-0.4159879336349925,0.36470588235294116,cool,bright,dark
0.02773046875,-0.39231166150670793,0.39215686274509803,cool,bright,dark
0.0650265625,-0.32923351158645275,0.3607843137254902,cool,bright,dark
0.06255390625,-0.3144607843137255,0.18823529411764706,cool,bright,dark
0.0522875,-0.3297119804859743,0.3176470588235294,cool,bright,dark
0.15481953125,-0.1499199679871949,0.26666666666666666,cool,bright,dark
0.02409453125,-0.4121648659463786,0.4588235294117647,cool,bright,dark
0.0479296875,-0.2987522281639929,0.23137254901960785,cool,bright,dark
0.00876796875,-0.34618188984136367,0.2784313725490196,cool,bright,dark
0.09180390625,-0.28599834299917154,0.3333333333333333,cool,bright,dark
0.06256640625,-0.33385733603786344,0.40784313725490196,cool,bright,dark
0.02031484375,-0.35642087821043916,0.3333333333333333,cool,bright,dark
0.13055546875,-0.22624061970467196,0.45098039215686275,cool,bright,dark
0.0793671875,-0.28952555115310374,0.2549019607843137,cool,bright,dark
0.10838515625,-0.2487419001935538,0.4117647058823529,cool,bright,dark
0.071275,-0.3028867102396514,0.34509803921568627,cool,bright,dark
0.17907734375,-0.13529411764705881,0.3215686274509804,cool,bright,dark
0.02516171875,-0.32746414001842344,0.08235294117647059,cool,bright,dark
0.0665,-0.3161200763491237,0.3843137254901961,cool,bright,dark
0.0738734375,-0.3123056118999324,0.40784313725490196,cool,bright,dark
0.12593515625,-0.16288032454361057,0.1803921568627451,cool,bright,dark
0.1112234375,-0.24069952305246425,0.3686274509803922,cool,bright,dark
0.08028046875,-0.2553240130132771,0.37254901960784315,cool,bright,dark
0.05595,-0.2841390021355077,-0.10588235294117647,cool,bright,dark
0.00740390625,-0.3969379532634972,0.3568627450980392,cool,bright,dark
0.12381015625,-0.24073629451780712,0.4588235294117647,cool,bright,dark
0.10405390625,-0.2769607843137255,0.4392156862745098,cool,bright,dark
0.05237109375,-0.3591036414565827,0.3764705882352941,cool,bright,dark
0.03161953125,-0.31892507002801124,0.3764705882352941,cool,bright,dark
0.121975,-0.23417835753548283,0.43529411764705883,cool,bright,dark
0.07610703125,-0.3099964985994398,0.3764705882352941,cool,bright,dark
-0.00712421875,-0.3903328773369813,0.3411764705882353,cool,bright,dark
0.072140625,-0.3289878113407525,0.2235294117647059,cool,bright,dark
0.06212578125,-0.3519607843137255,0.3607843137254902,cool,bright,dark
-0.005346875,-0.406308610400682,0.4,cool,bright,dark
0.10146953125,-0.2695046439628483,0.39215686274509803,cool,bright,dark
-0.01351328125,-0.3532428355957768,0.2627450980392157,cool,bright,dark
0.1127734375,-0.19385267620561739,0.2235294117647059,cool,bright,dark
0.11187265625,-0.24807477395103117,0.2549019607843137,cool,bright,dark
0.17895546875,-0.05877896613190729,0.18823529411764706,warm,soft,dark
0.03197265625,-0.3597589494513402,0.35294117647058826,warm,soft,dark
0.160846875,-0.12973856209150325,0.20392156862745098,warm,soft,dark
0.103703125,-0.2849395077179808,0.4196078431372549,warm,soft,dark
0.10314375,-0.25429723291185635,0.33725490196078434,warm,soft,dark
